Story DNA,Version Date,Creation Time (PDT)
AWAKEN,Oct 04 2022,11:43
"We stand shouldered up with all of those that believe in peace, love and free expression.",Oct 04 2022,11:45
"The thinkers, the artists, the visionaries, the builders and all of those that have ever participated in a movement to change things.",Oct 04 2022,11:45
To right a wrong.,Oct 04 2022,11:45
To shine a light on an injustice.,Oct 04 2022,11:45
To create beauty for the sake of creating beauty.,Oct 04 2022,11:45
And for the belief that somehow someone somewhere could have a better life,Oct 04 2022,11:45
And for the belief that somehow someone somewhere could have a better life because of their actions in that moment.,Oct 04 2022,11:45
"The thinkers and visionaries, the artists and builders, and all of those that have ever participated in a movement to change things.",Oct 04 2022,11:46
We feel them with us today.,Oct 04 2022,11:46
Their light was meant to right a wrong.,Oct 04 2022,11:46
"We stand shouldered up in peace, love and art.",Oct 04 2022,11:54
"We stand shouldered up in peace, love and art. The thinkers and visionaries, the artists and builders, and all of those that have ever participated in a movement to change things. We feel them with us today. Their light was meant to right a wrong. To shine a light on an injustice. To create beauty for the sake of creating beauty. And for the belief that somehow someone somewhere could have a better life because of their actions in that moment.",Oct 04 2022,11:55
We feel you. ,Oct 04 2022,11:57
We hear you.,Oct 04 2022,11:57
We see you.,Oct 04 2022,11:57
We understand that justice is about making right what is wrong. ,Oct 04 2022,11:57
That you also long to shine your light and know that it was received and made a difference.,Oct 04 2022,11:57
To create an art is an act of love.,Oct 04 2022,11:58
And to know that somehow someone somewhere will have a better life because of your actions in this moment and what you have started will keep going.,Oct 04 2022,11:58
"We stand shouldered up huddled in peace, love and art.",Oct 04 2022,20:01
"The thinkers and visionaries, the artists and builders, and all of those that have ever participated in a movement to change things are here, too.",Oct 04 2022,20:01
"We acknowledge your love, we receive it, and we love you, too.",Oct 04 2022,20:02
"That to create an art as an act of love, a sacred ritual.",Oct 04 2022,20:02
"We stand shouldered up huddled in peace, love and art. The thinkers and visionaries, the artists and builders, and all of those that have ever participated in a movement to change things are here, too. We feel you. We hear you. We see you. We acknowledge your love, we receive it, and we love you, too. We understand that justice is about making what is wrong right. That you also long to shine your light and know that it was received and made a difference. That to create an art as an act of love, a sacred ritual. And to know that somehow someone somewhere will have a better life because of your actions in this moment and what you have started will keep going.",Oct 04 2022,20:03
"That to create your art was an act of love, a sacred ritual worthy of nobility.",Oct 04 2022,20:05
Somehow someone somewhere will have a better life because of your actions in this moment and what you have started will keep going.,Oct 04 2022,20:05
We are one in this moment.,Oct 04 2022,20:05
Gathering strength to keep going.,Oct 04 2022,20:05
Listening and sharing stories in the warmth of a shared moment of love.,Oct 04 2022,20:05
Listening and sharing stories in the warmth.,Oct 04 2022,20:05
"This is love, and it feels like things are changing.",Oct 04 2022,20:05
"We stand as individuals shouldered up huddled in a glow, a warmth filled by hearts-full of peace, love and art.",Oct 04 2022,20:07
We need this moment.,Oct 04 2022,20:07
We need some rest from despair.,Oct 04 2022,20:07
Justice is making what is wrong right.,Oct 04 2022,20:08
The light of love breaks the dawn.,Oct 04 2022,20:09
"Art is love, worthy of spirit.",Oct 04 2022,20:09
